timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1485111619231,176,Petición HTTP,502,Bad Gateway,Alcaldia 1-474,text,false,,155,191,447,447,176,0,39
1485111619232,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-471,text,false,,155,191,446,446,175,0,38
1485111619233,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-476,text,false,,155,191,445,445,175,0,37
1485111619241,167,Petición HTTP,502,Bad Gateway,Alcaldia 1-483,text,false,,155,191,444,444,167,0,43
1485111619237,171,Petición HTTP,502,Bad Gateway,Alcaldia 1-480,text,false,,155,191,443,443,171,0,50
1485111619215,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-459,text,false,,155,191,443,443,194,0,49
1485111619211,198,Petición HTTP,502,Bad Gateway,Alcaldia 1-456,text,false,,155,191,443,443,198,0,46
1485111619227,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-470,text,false,,155,191,442,442,182,0,41
1485111619214,196,Petición HTTP,502,Bad Gateway,Alcaldia 1-457,text,false,,155,191,442,442,196,0,43
1485111619214,196,Petición HTTP,502,Bad Gateway,Alcaldia 1-458,text,false,,155,191,442,442,196,0,43
1485111619216,194,Petición HTTP,502,Bad Gateway,Alcaldia 1-460,text,false,,155,191,442,442,194,0,54
1485111619262,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-501,text,false,,155,191,453,453,161,0,36
1485111619239,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-481,text,false,,155,191,453,453,184,0,49
1485111619242,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-484,text,false,,155,191,453,453,182,0,46
1485111619250,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-490,text,false,,155,191,453,453,174,0,40
1485111619245,179,Petición HTTP,502,Bad Gateway,Alcaldia 1-487,text,false,,155,191,450,450,179,0,43
1485111619240,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-482,text,false,,155,191,450,450,184,0,48
1485111619236,188,Petición HTTP,502,Bad Gateway,Alcaldia 1-479,text,false,,155,191,449,449,188,0,52
1485111619244,180,Petición HTTP,502,Bad Gateway,Alcaldia 1-486,text,false,,155,191,447,447,180,0,46
1485111619263,161,Petición HTTP,502,Bad Gateway,Alcaldia 1-503,text,false,,155,191,447,447,161,0,36
1485111619235,189,Petición HTTP,502,Bad Gateway,Alcaldia 1-478,text,false,,155,191,445,445,189,0,54
1485111619247,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-489,text,false,,155,191,445,445,178,0,43
1485111619234,191,Petición HTTP,502,Bad Gateway,Alcaldia 1-477,text,false,,155,191,445,445,191,0,57
1485111619246,179,Petición HTTP,502,Bad Gateway,Alcaldia 1-488,text,false,,155,191,445,445,179,0,44
1485111619262,169,Petición HTTP,502,Bad Gateway,Alcaldia 1-500,text,false,,155,191,446,446,169,0,37
1485111619243,191,Petición HTTP,502,Bad Gateway,Alcaldia 1-485,text,false,,155,191,447,447,191,0,45
1485111619255,180,Petición HTTP,502,Bad Gateway,Alcaldia 1-496,text,false,,155,191,448,448,180,0,44
1485111619261,175,Petición HTTP,502,Bad Gateway,Alcaldia 1-499,text,false,,155,191,449,449,175,0,38
1485111619261,176,Petición HTTP,502,Bad Gateway,Alcaldia 1-498,text,false,,155,191,450,450,176,0,38
1485111619265,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-505,text,false,,155,191,450,450,173,0,47
1485111619261,177,Petición HTTP,502,Bad Gateway,Alcaldia 1-497,text,false,,155,191,451,451,177,0,38
1485111619270,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-510,text,false,,155,191,452,452,178,0,45
1485111619269,179,Petición HTTP,502,Bad Gateway,Alcaldia 1-509,text,false,,155,191,452,452,179,0,46
1485111619264,185,Petición HTTP,502,Bad Gateway,Alcaldia 1-504,text,false,,155,191,453,453,185,0,49
1485111619271,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-511,text,false,,155,191,452,452,178,0,44
1485111619268,181,Petición HTTP,502,Bad Gateway,Alcaldia 1-508,text,false,,155,191,452,452,181,0,48
1485111619266,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-506,text,false,,155,191,452,452,182,0,49
1485111619275,180,Petición HTTP,502,Bad Gateway,Alcaldia 1-514,text,false,,155,191,453,453,180,0,40
1485111619264,192,Petición HTTP,502,Bad Gateway,Alcaldia 1-502,text,false,,155,191,452,452,192,0,50
1485111619277,180,Petición HTTP,502,Bad Gateway,Alcaldia 1-516,text,false,,155,191,452,452,180,0,54
1485111619273,185,Petición HTTP,502,Bad Gateway,Alcaldia 1-512,text,false,,155,191,451,451,185,0,43
1485111619276,182,Petición HTTP,502,Bad Gateway,Alcaldia 1-515,text,false,,155,191,450,450,182,0,39
1485111619287,171,Petición HTTP,502,Bad Gateway,Alcaldia 1-525,text,false,,155,191,450,450,171,0,45
1485111619274,184,Petición HTTP,502,Bad Gateway,Alcaldia 1-513,text,false,,155,191,448,448,184,0,42
1485111619267,191,Petición HTTP,502,Bad Gateway,Alcaldia 1-507,text,false,,155,191,448,448,191,0,49
1485111619290,176,Petición HTTP,502,Bad Gateway,Alcaldia 1-527,text,false,,155,191,452,452,176,0,51
1485111619293,173,Petición HTTP,502,Bad Gateway,Alcaldia 1-530,text,false,,155,191,452,452,173,0,55
1485111619288,178,Petición HTTP,502,Bad Gateway,Alcaldia 1-526,text,false,,155,191,452,452,178,0,60
1485111619291,174,Petición HTTP,502,Bad Gateway,Alcaldia 1-528,text,false,,155,191,452,452,174,0,50
